employee_id,first_name,last_name,email,department_id,location_id
1,Danielle,Johnson,danielle.johnson@company.com,2,1
2,Joshua,Walker,joshua.walker@company.com,5,2
3,Jill,Rhodes,jill.rhodes@company.com,4,2
4,Patricia,Miller,patricia.miller@company.com,2,5
5,Robert,Johnson,robert.johnson@company.com,2,5
6,Jeffery,Wagner,jeffery.wagner@company.com,7,1
7,Anthony,Gonzalez,anthony.gonzalez@company.com,1,1
8,Debra,Gardner,debra.gardner@company.com,4,2
9,Jeffrey,Lawrence,jeffrey.lawrence@company.com,9,5
10,Lisa,Smith,lisa.smith@company.com,1,5
11,Linda,Wolfe,linda.wolfe@company.com,4,5
12,Matthew,Moore,matthew.moore@company.com,7,2
13,Susan,Rogers,susan.rogers@company.com,8,5
14,Christopher,Davis,christopher.davis@company.com,5,1
15,Melanie,Munoz,melanie.munoz@company.com,3,4
16,Lindsay,Blair,lindsay.blair@company.com,6,3
17,Amanda,Dudley,amanda.dudley@company.com,3,2
18,Nicholas,Arnold,nicholas.arnold@company.com,6,1
19,Maria,Montgomery,maria.montgomery@company.com,2,4
20,Michelle,Ray,michelle.ray@company.com,2,3
21,Janet,Williams,janet.williams@company.com,6,5
22,Jeremy,Roberts,jeremy.roberts@company.com,5,1
23,Christopher,Hall,christopher.hall@company.com,8,5
24,Craig,Ramirez,craig.ramirez@company.com,2,4
25,Cynthia,Diaz,cynthia.diaz@company.com,2,5
26,Mitchell,Clark,mitchell.clark@company.com,5,5
27,Joseph,Zuniga,joseph.zuniga@company.com,6,5
28,Deborah,Lynch,deborah.lynch@company.com,4,1
29,George,Daniel,george.daniel@company.com,1,2
30,Frank,Gray,frank.gray@company.com,5,1
31,Veronica,Bowman,veronica.bowman@company.com,4,1
32,Angela,Cohen,angela.cohen@company.com,7,3
33,Megan,Parsons,megan.parsons@company.com,8,3
34,Jeremy,Johnson,jeremy.johnson@company.com,3,3
35,Leslie,Adams,leslie.adams@company.com,6,2
36,Jason,Hahn,jason.hahn@company.com,5,1
37,Nancy,Edwards,nancy.edwards@company.com,10,2
38,Diana,Foster,diana.foster@company.com,9,2
39,Robin,Ellis,robin.ellis@company.com,3,4
40,Joseph,Wright,joseph.wright@company.com,7,3
41,Anna,Baker,anna.baker@company.com,9,2
42,Brenda,Hurst,brenda.hurst@company.com,6,1
43,Reginald,Robinson,reginald.robinson@company.com,4,1
44,Whitney,Hicks,whitney.hicks@company.com,6,4
45,Christopher,Williams,christopher.williams@company.com,5,1
46,Daniel,Burton,daniel.burton@company.com,4,5
47,Laura,Henderson,laura.henderson@company.com,6,2
48,Bryan,James,bryan.james@company.com,8,4
49,Wendy,Rice,wendy.rice@company.com,8,2
50,Tasha,Valencia,tasha.valencia@company.com,5,2
51,Alexander,Le,alexander.le@company.com,4,5
52,Erin,Herrera,erin.herrera@company.com,9,3
53,Joseph,Davidson,joseph.davidson@company.com,10,4
54,Daniel,Graham,daniel.graham@company.com,10,4
55,Shawn,Mckay,shawn.mckay@company.com,6,2
56,Nancy,Baker,nancy.baker@company.com,3,5
57,Vincent,White,vincent.white@company.com,8,1
58,Rita,Harrell,rita.harrell@company.com,1,1
59,Kenneth,Fowler,kenneth.fowler@company.com,3,2
60,Chelsea,Hernandez,chelsea.hernandez@company.com,7,5
61,Kathryn,Ryan,kathryn.ryan@company.com,2,4
62,Kimberly,Moreno,kimberly.moreno@company.com,7,5
63,Aaron,Nguyen,aaron.nguyen@company.com,8,5
64,Andrew,Hickman,andrew.hickman@company.com,5,5
65,Natasha,Decker,natasha.decker@company.com,1,1
66,Kyle,Brown,kyle.brown@company.com,9,3
67,Natalie,Arroyo,natalie.arroyo@company.com,6,1
68,Christopher,Tucker,christopher.tucker@company.com,5,4
69,Chad,Hodges,chad.hodges@company.com,3,4
70,Katie,Anderson,katie.anderson@company.com,1,3
71,Thomas,Pierce,thomas.pierce@company.com,9,2
72,Joseph,Brennan,joseph.brennan@company.com,9,1
73,Rodney,Lewis,rodney.lewis@company.com,5,5
74,Amber,Blair,amber.blair@company.com,10,2
75,James,Collins,james.collins@company.com,3,3
76,Wanda,Santos,wanda.santos@company.com,3,5
77,Samuel,Holmes,samuel.holmes@company.com,9,1
78,David,Walker,david.walker@company.com,10,3
79,Matthew,Chapman,matthew.chapman@company.com,8,1
80,Jerry,Robinson,jerry.robinson@company.com,2,3
81,Chad,Welch,chad.welch@company.com,5,2
82,Jeremy,Whitehead,jeremy.whitehead@company.com,1,2
83,Michele,Jones,michele.jones@company.com,10,1
84,John,Caldwell,john.caldwell@company.com,2,4
85,Jason,Anderson,jason.anderson@company.com,2,5
86,Selena,Duncan,selena.duncan@company.com,3,2
