agent_id,first_name,last_name,email,team_id
1,Christopher,Cortez,christopher.cortez@company.com,2
2,Tracy,Chang,tracy.chang@company.com,4
3,Hannah,Brewer,hannah.brewer@company.com,2
4,Travis,Mcguire,travis.mcguire@company.com,3
5,Christopher,Walker,christopher.walker@company.com,4
6,Heather,Torres,heather.torres@company.com,4
7,Bonnie,Kennedy,bonnie.kennedy@company.com,1
8,Alyssa,Coleman,alyssa.coleman@company.com,4
9,Julie,Rivera,julie.rivera@company.com,3
10,Jacqueline,Nelson,jacqueline.nelson@company.com,6
11,John,Martinez,john.martinez@company.com,6
12,James,Wilson,james.wilson@company.com,4
13,Amanda,Gill,amanda.gill@company.com,6
14,Jacob,Robinson,jacob.robinson@company.com,2
15,Todd,Hardy,todd.hardy@company.com,4
16,Tiffany,Warren,tiffany.warren@company.com,2
17,Justin,Garcia,justin.garcia@company.com,5
18,James,Perez,james.perez@company.com,5
19,Harry,Smith,harry.smith@company.com,1
20,Amanda,Hill,amanda.hill@company.com,4
21,Terri,Tran,terri.tran@company.com,5
22,Heidi,Martinez,heidi.martinez@company.com,5
23,Miranda,Henry,miranda.henry@company.com,6
24,Monique,Andrews,monique.andrews@company.com,1
25,Taylor,Alexander,taylor.alexander@company.com,1
26,Jack,Williams,jack.williams@company.com,6
27,Shelley,Woods,shelley.woods@company.com,4
28,Lynn,Morales,lynn.morales@company.com,2
29,Charles,Soto,charles.soto@company.com,4
30,Brian,Hernandez,brian.hernandez@company.com,2
31,Anna,Torres,anna.torres@company.com,1
32,Victoria,Wilson,victoria.wilson@company.com,3
33,Kathy,Obrien,kathy.obrien@company.com,4
34,Krystal,Perez,krystal.perez@company.com,3
35,Alexandra,Hayes,alexandra.hayes@company.com,2
